"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"02/14/2020 00:00:41","02/13/2020 17:00:41","MiningRigRentals","CryptoNightR","BTC","10166.54","11.5647","11.5647","4.3961","0.17","0","1.026","0"
"02/14/2020 00:00:41","02/13/2020 17:00:41","MiningRigRentals","CryptoNightR","BTC","10166.54","3.672","3.672","1.553","0.06","0","1.026","0"
"02/14/2020 00:01:42","02/13/2020 17:01:42","MiningRigRentals","CryptoNightR","BTC","10165.42","11.5344","11.5344","4.3852","0.17","0","1.023","0"
"02/14/2020 00:01:42","02/13/2020 17:01:42","MiningRigRentals","CryptoNightR","BTC","10165.42","3.6624","3.6624","1.5492","0.06","0","1.023","0"
"02/14/2020 00:02:44","02/13/2020 17:02:44","MiningRigRentals","CryptoNightR","BTC","10165.42","11.5832","11.5832","4.4036","0.17","0","1.028","0"
"02/14/2020 00:02:44","02/13/2020 17:02:44","MiningRigRentals","CryptoNightR","BTC","10165.42","3.6775","3.6775","1.5557","0.06","0","1.028","0"
"02/14/2020 00:03:46","02/13/2020 17:03:46","MiningRigRentals","CryptoNightR","BTC","10165.42","11.6501","11.6501","4.4288","0.171","0","1.034","0"
"02/14/2020 00:03:46","02/13/2020 17:03:46","MiningRigRentals","CryptoNightR","BTC","10165.42","3.7023","3.7023","1.5663","0.061","0","1.035","0"
"02/14/2020 00:04:48","02/13/2020 17:04:48","MiningRigRentals","CryptoNightR","BTC","10165.42","11.7271","11.7271","4.4582","0.173","0","1.04","0"
"02/14/2020 00:04:48","02/13/2020 17:04:48","MiningRigRentals","CryptoNightR","BTC","10165.42","3.7191","3.7191","1.5734","0.061","0","1.039","0"
"02/14/2020 00:05:50","02/13/2020 17:05:50","MiningRigRentals","CryptoNightR","BTC","10165.42","11.4945","11.4945","4.3698","0.169","0","1.02","0"
"02/14/2020 00:05:50","02/13/2020 17:05:50","MiningRigRentals","CryptoNightR","BTC","10165.42","3.6508","3.6508","1.5446","0.06","0","1.02","0"
"02/14/2020 00:06:51","02/13/2020 17:06:51","MiningRigRentals","CryptoNightR","BTC","10165.42","11.5274","11.5274","4.3824","0.17","0","1.023","0"
"02/14/2020 00:06:51","02/13/2020 17:06:51","MiningRigRentals","CryptoNightR","BTC","10165.42","3.6732","3.6732","1.5542","0.06","0","1.026","0"
"02/14/2020 00:07:53","02/13/2020 17:07:53","MiningRigRentals","CryptoNightR","BTC","10165.42","11.6388","11.6388","4.4248","0.171","0","1.033","0"
"02/14/2020 00:07:53","02/13/2020 17:07:53","MiningRigRentals","CryptoNightR","BTC","10165.42","3.6814","3.6814","1.5577","0.06","0","1.029","0"
"02/14/2020 00:08:54","02/13/2020 17:08:54","MiningRigRentals","CryptoNightR","BTC","10167.04","11.527","11.527","4.3852","0.17","0","1.023","0"
"02/14/2020 00:08:54","02/13/2020 17:08:54","MiningRigRentals","CryptoNightR","BTC","10167.04","3.6597","3.6597","1.5496","0.06","0","1.023","0"
"02/14/2020 00:09:56","02/13/2020 17:09:56","MiningRigRentals","CryptoNightR","BTC","10167.04","11.579","11.579","4.405","0.17","0","1.027","0"
"02/14/2020 00:09:56","02/13/2020 17:09:56","MiningRigRentals","CryptoNightR","BTC","10167.04","3.677","3.677","1.557","0.06","0","1.027","0"
"02/14/2020 00:10:58","02/13/2020 17:10:58","MiningRigRentals","CryptoNightR","BTC","10167.04","11.589","11.589","4.4087","0.171","0","1.028","0"
"02/14/2020 00:10:58","02/13/2020 17:10:58","MiningRigRentals","CryptoNightR","BTC","10167.04","3.6805","3.6805","1.5586","0.06","0","1.028","0"
"02/14/2020 00:11:59","02/13/2020 17:11:59","MiningRigRentals","CryptoNightR","BTC","10167.04","11.5805","11.5805","4.4055","0.17","0","1.027","0"
"02/14/2020 00:11:59","02/13/2020 17:11:59","MiningRigRentals","CryptoNightR","BTC","10167.04","3.6772","3.6772","1.5572","0.06","0","1.028","0"
"02/14/2020 00:13:01","02/13/2020 17:13:01","MiningRigRentals","CryptoNightR","BTC","10167.04","11.5464","11.5464","4.3925","0.17","0","1.024","0"
"02/14/2020 00:13:01","02/13/2020 17:13:01","MiningRigRentals","CryptoNightR","BTC","10167.04","3.6646","3.6646","1.5519","0.06","0","1.024","0"
"02/14/2020 00:14:03","02/13/2020 17:14:03","MiningRigRentals","CryptoNightR","BTC","10167.04","11.6348","11.6348","4.4261","0.171","0","1.032","0"
"02/14/2020 00:14:03","02/13/2020 17:14:03","MiningRigRentals","CryptoNightR","BTC","10167.04","3.6938","3.6938","1.5643","0.06","0","1.032","0"
"02/14/2020 00:15:04","02/13/2020 17:15:04","MiningRigRentals","CryptoNightR","BTC","10167.04","11.555","11.555","4.3957","0.17","0","1.025","0"
"02/14/2020 00:15:04","02/13/2020 17:15:04","MiningRigRentals","CryptoNightR","BTC","10167.04","3.6702","3.6702","1.5542","0.06","0","1.026","0"
