"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"02/06/2020 00:00:33","02/05/2020 17:00:33","MiningRigRentals","CryptoNightTurtle","BTC","9558.38","33.9531","33.9531","8.4418","0.308","0","1.398","0"
"02/06/2020 00:01:39","02/05/2020 17:01:39","MiningRigRentals","CryptoNightTurtle","BTC","9558.38","26.9481","26.9481","6.7002","0.245","0","1.11","0"
"02/06/2020 00:02:53","02/05/2020 17:02:53","MiningRigRentals","CryptoNightTurtle","BTC","9558.38","29.9719","29.9719","7.452","0.272","0","1.234","0"
"02/06/2020 00:04:12","02/05/2020 17:04:12","MiningRigRentals","CryptoNightTurtle","BTC","9558.38","31.9238","31.9238","7.9373","0.29","0","1.315","0"
"02/06/2020 00:05:21","02/05/2020 17:05:21","MiningRigRentals","CryptoNightTurtle","BTC","9558.38","27.9117","27.9117","6.9398","0.253","0","1.149","0"
"02/06/2020 00:06:28","02/05/2020 17:06:28","MiningRigRentals","CryptoNightTurtle","BTC","9562.09","27.352","27.352","6.7664","0.247","0","1.121","0"
"02/06/2020 00:08:12","02/05/2020 17:08:12","SparkPool","Cuckaroom29","GRIN","9545.28","3.2377","3.2377","1.753","0.064","0","0.388","0"
"02/06/2020 00:09:13","02/05/2020 17:09:13","SparkPool","Cuckaroom29","GRIN","9553.44","8.6082","8.6082","4.6504","0.17","0","1.031","0"
"02/06/2020 00:10:17","02/05/2020 17:10:17","SparkPool","Cuckaroom29","GRIN","9549.5","8.8241","8.8241","4.7681","0.174","0","1.057","0"
"02/06/2020 00:11:26","02/05/2020 17:11:26","SparkPool","Cuckaroom29","GRIN","9549.5","9.365","9.365","5.2237","0.191","0","1.158","0"
"02/06/2020 00:12:27","02/05/2020 17:12:27","SparkPool","Cuckaroom29","GRIN","9553.98","8.2452","8.2452","4.5972","0.168","0","1.019","0"
"02/06/2020 00:15:02","02/05/2020 17:15:02","MiningRigRentals","CryptoNightTurtle","BTC","9559.91","10.0303","10.0303","2.482","0.091","0","0.411","0"
"02/06/2020 00:16:15","02/05/2020 17:16:15","MiningRigRentals","CryptoNightTurtle","BTC","9559.91","29.9353","29.9353","7.4074","0.271","0","1.227","0"
"02/06/2020 00:17:26","02/05/2020 17:17:26","MiningRigRentals","CryptoNightTurtle","BTC","9559.91","28.5402","28.5402","7.0623","0.258","0","1.17","0"
"02/06/2020 00:18:40","02/05/2020 17:18:40","MiningRigRentals","CryptoNightTurtle","BTC","9559.91","30.2461","30.2461","7.4844","0.273","0","1.239","0"
"02/06/2020 00:19:55","02/05/2020 17:19:55","MiningRigRentals","CryptoNightTurtle","BTC","9559.91","30.5959","30.5959","7.571","0.277","0","1.254","0"
"02/06/2020 00:21:09","02/05/2020 17:21:09","MiningRigRentals","CryptoNightTurtle","BTC","9542","30.1207","30.1207","7.4675","0.272","0","1.234","0"
"02/06/2020 00:22:20","02/05/2020 17:22:20","MiningRigRentals","CryptoNightTurtle","BTC","9542","28.5676","28.5676","7.0825","0.258","0","1.171","0"
"02/06/2020 00:23:34","02/05/2020 17:23:34","MiningRigRentals","CryptoNightTurtle","BTC","9542","30.4379","30.4379","7.5462","0.275","0","1.247","0"
"02/06/2020 00:24:43","02/05/2020 17:24:43","MiningRigRentals","CryptoNightTurtle","BTC","9536","27.9122","27.9122","6.9238","0.252","0","1.144","0"
"02/06/2020 00:25:51","02/05/2020 17:25:51","MiningRigRentals","CryptoNightTurtle","BTC","9535.64","27.6903","27.6903","6.8233","0.249","0","1.127","0"
"02/06/2020 00:27:02","02/05/2020 17:27:02","MiningRigRentals","CryptoNightTurtle","BTC","9535.64","29.1431","29.1431","7.1813","0.262","0","1.186","0"
"02/06/2020 00:28:16","02/05/2020 17:28:16","MiningRigRentals","CryptoNightTurtle","BTC","9535","30.2902","30.2902","7.4645","0.272","0","1.233","0"
"02/06/2020 00:29:25","02/05/2020 17:29:25","MiningRigRentals","CryptoNightTurtle","BTC","9528.86","28.2644","28.2644","6.9691","0.254","0","1.151","0"
"02/06/2020 00:30:38","02/05/2020 17:30:38","MiningRigRentals","CryptoNightTurtle","BTC","9537","29.8583","29.8583","7.3559","0.268","0","1.215","0"
"02/06/2020 00:31:45","02/05/2020 17:31:45","MiningRigRentals","CryptoNightTurtle","BTC","9536.98","27.6692","27.6692","6.8166","0.248","0","1.126","0"
"02/06/2020 00:32:51","02/05/2020 17:32:51","MiningRigRentals","CryptoNightTurtle","BTC","9540.8","27.066","27.066","6.6653","0.243","0","1.102","0"
"02/06/2020 00:34:04","02/05/2020 17:34:04","MiningRigRentals","CryptoNightTurtle","BTC","9540.8","29.8211","29.8211","7.3438","0.268","0","1.214","0"
"02/06/2020 00:35:13","02/05/2020 17:35:13","MiningRigRentals","CryptoNightTurtle","BTC","9540.8","28.2791","28.2791","6.964","0.254","0","1.151","0"
"02/06/2020 00:36:20","02/05/2020 17:36:20","MiningRigRentals","CryptoNightTurtle","BTC","9550","27.275","27.275","6.7104","0.245","0","1.11","0"
"02/06/2020 00:37:30","02/05/2020 17:37:30","MiningRigRentals","CryptoNightTurtle","BTC","9550","28.6686","28.6686","7.0533","0.257","0","1.167","0"
"02/06/2020 00:38:37","02/05/2020 17:38:37","MiningRigRentals","CryptoNightTurtle","BTC","9550","27.2388","27.2388","6.7015","0.245","0","1.109","0"
"02/06/2020 00:39:44","02/05/2020 17:39:44","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","27.4572","27.4572","6.7527","0.247","0","1.118","0"
"02/06/2020 00:40:53","02/05/2020 17:40:53","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","28.3473","28.3473","6.9716","0.255","0","1.154","0"
"02/06/2020 00:42:01","02/05/2020 17:42:01","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","27.9876","27.9876","6.8831","0.251","0","1.139","0"
"02/06/2020 00:43:07","02/05/2020 17:43:07","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","26.9478","26.9478","6.6274","0.242","0","1.097","0"
"02/06/2020 00:44:11","02/05/2020 17:44:11","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","26.3893","26.3893","6.49","0.237","0","1.074","0"
"02/06/2020 00:45:17","02/05/2020 17:45:17","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","27.0167","27.0167","6.6443","0.243","0","1.1","0"
"02/06/2020 00:46:26","02/05/2020 17:46:26","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","27.9021","27.9021","6.8841","0.251","0","1.139","0"
"02/06/2020 00:47:34","02/05/2020 17:47:34","MiningRigRentals","CryptoNightTurtle","BTC","9553.54","27.8292","27.8292","6.8661","0.251","0","1.137","0"
