"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"02/05/2020 00:00:18","02/04/2020 17:00:18","MoneroOcean","Cuckaroo29s","XMR","9196.38","18.882","18.882","10.906","0.382","0","2.334","0"
"02/05/2020 00:00:18","02/04/2020 17:00:18","NiceHash","Ethash","BTC","9196.38","8.167","8.167","4.1203","0.144","0","2.334","0"
"02/05/2020 00:02:46","02/04/2020 17:02:46","MoneroOcean","Cuckaroo29s","XMR","9196.38","20.276","20.276","11.5408","0.404","0","2.469","0"
"02/05/2020 00:02:47","02/04/2020 17:02:47","NiceHash","Ethash","BTC","9196.38","8.6403","8.6403","4.359","0.153","0","2.469","0"
"02/05/2020 00:05:18","02/04/2020 17:05:18","MoneroOcean","Cuckaroo29s","XMR","9196.38","23.3073","23.3073","11.7914","0.413","0","2.522","0"
"02/05/2020 00:05:18","02/04/2020 17:05:18","NiceHash","Ethash","BTC","9196.38","8.8291","8.8291","4.4534","0.156","0","2.523","0"
"02/05/2020 00:07:45","02/04/2020 17:07:45","MoneroOcean","Cuckaroo29s","XMR","9196.38","21.9942","21.9942","11.4803","0.402","0","2.456","0"
"02/05/2020 00:07:45","02/04/2020 17:07:45","NiceHash","Ethash","BTC","9196.38","8.5953","8.5953","4.3351","0.152","0","2.456","0"
"02/05/2020 00:10:10","02/04/2020 17:10:10","MoneroOcean","Cuckaroo29s","XMR","9182.78","20.7527","20.7527","11.3348","0.396","0","2.42","0"
"02/05/2020 00:10:10","02/04/2020 17:10:10","NiceHash","Ethash","BTC","9182.78","8.4677","8.4677","4.2791","0.15","0","2.42","0"
"02/05/2020 00:12:36","02/04/2020 17:12:36","MoneroOcean","Cuckaroo29s","XMR","9182.78","19.9806","19.9806","11.3919","0.398","0","2.432","0"
"02/05/2020 00:12:36","02/04/2020 17:12:36","NiceHash","Ethash","BTC","9182.78","8.5122","8.5122","4.303","0.15","0","2.433","0"
