"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"02/08/2020 00:00:55","02/07/2020 17:00:55","MiningRigRentals","CryptoNightTurtle","BTC","9778.54","32.1852","32.1852","7.2059","0.268","0","1.213","0"
"02/08/2020 00:02:13","02/07/2020 17:02:13","MiningRigRentals","CryptoNightTurtle","BTC","9778.54","34.7227","34.7227","7.774","0.289","0","1.309","0"
"02/08/2020 00:03:23","02/07/2020 17:03:23","MiningRigRentals","CryptoNightTurtle","BTC","9778.54","30.8317","30.8317","6.9028","0.256","0","1.162","0"
"02/08/2020 00:04:36","02/07/2020 17:04:36","MiningRigRentals","CryptoNightTurtle","BTC","9778.54","32.4663","32.4663","7.2688","0.27","0","1.224","0"
"02/08/2020 00:05:42","02/07/2020 17:05:42","MiningRigRentals","CryptoNightTurtle","BTC","9778.54","29.0553","29.0553","6.4922","0.241","0","1.093","0"
"02/08/2020 00:06:48","02/07/2020 17:06:48","MiningRigRentals","CryptoNightTurtle","BTC","9778.54","29.1429","29.1429","6.5117","0.242","0","1.097","0"
"02/08/2020 00:07:54","02/07/2020 17:07:54","MiningRigRentals","CryptoNightTurtle","BTC","9774.76","29.4163","29.4163","6.5736","0.244","0","1.107","0"
"02/08/2020 00:09:09","02/07/2020 17:09:09","MiningRigRentals","CryptoNightTurtle","BTC","9774.76","32.9543","32.9543","7.3643","0.273","0","1.24","0"
"02/08/2020 00:10:22","02/07/2020 17:10:22","MiningRigRentals","CryptoNightTurtle","BTC","9774.76","32.7451","32.7451","7.3175","0.272","0","1.232","0"
"02/08/2020 00:11:28","02/07/2020 17:11:28","MiningRigRentals","CryptoNightTurtle","BTC","9774.76","29.069","29.069","6.4961","0.241","0","1.094","0"
"02/08/2020 00:12:35","02/07/2020 17:12:35","MiningRigRentals","CryptoNightTurtle","BTC","9774.76","29.7223","29.7223","6.6421","0.247","0","1.118","0"
